"","address","charging","engineType","exterior","fuel","interior","name","smartPhoneRequired","vin","City","Longitude","Latitude","Altitude","Time....Sys.time..","zip"
"1","Rio Grande St 380, 78701 Austin",NA,"CE","GOOD",72,"GOOD","CSF 9069",FALSE,"WMEEJ3BA7EK733766","austin",-97.75009,30.26857,0,"2015-12-07 13:40:46","78701"
"2","E 1st St 2384, 78702 Austin",NA,"CE","GOOD",24,"GOOD","FBV 4383",FALSE,"WMEEJ3BAXFK799407","austin",-97.71775,30.25513,0,"2015-12-07 13:40:46","78702"
"3","The Enclave - 1005 W Stassney Lane - 2 Spaces",NA,"CE","GOOD",100,"GOOD","FBV 4428",FALSE,"WMEEJ3BA3FK799491","austin",-97.78589,30.2098,0,"2015-12-07 13:40:46","78745"
"4","E 11th St and Brazos St",NA,"CE","GOOD",30,"GOOD","CSG 1541",FALSE,"WMEEJ3BA7EK734657","austin",-97.73996,30.27251,0,"2015-12-07 13:40:46","78701"
"5","Wood Hollow Dr 7296, 78731 Austin",NA,"CE","GOOD",75,"GOOD","FJC 9793",FALSE,"WMEEJ3BA6FK801945","austin",-97.75075,30.35717,0,"2015-12-07 13:40:46","78731"
"6","W 3rd St 253, 78701 Austin",NA,"CE","GOOD",30,"UNACCEPTABLE","FBV 4391",FALSE,"WMEEJ3BA0FK799271","austin",-97.74573,30.26579,0,"2015-12-07 13:40:46","78701"
"7","LCRA - Trade Center Dr",NA,"CE","GOOD",30,"GOOD","FHB 2832",FALSE,"WMEEJ3BA9FK801907","austin",-97.71414,30.20749,0,"2015-12-07 13:40:46","78744"
"9","Alameda Dr 1410, 78704 Austin",NA,"CE","GOOD",57,"GOOD","CK9 T375",FALSE,"WMEEJ3BA3AK416755","austin",-97.74254,30.2474,0,"2015-12-07 13:40:46","78704"
"10","Congress Ave 459, 78701 Austin",NA,"CE","GOOD",48,"UNACCEPTABLE","FJC 9927",FALSE,"WMEEJ3BA8FK801218","austin",-97.7432,30.26675,0,"2015-12-07 13:40:46","78701"
"11","One Highland Center",NA,"CE","GOOD",12,"GOOD","FBV 4471",FALSE,"WMEEJ3BA1FK802551","austin",-97.71164,30.32867,0,"2015-12-07 13:40:46","78752"
"12","Haskell St 2181, 78702 Austin",NA,"CE","UNACCEPTABLE",30,"UNACCEPTABLE","CK9 T306",FALSE,"WMEEJ3BA1AK417872","austin",-97.72303,30.25124,0,"2015-12-07 13:40:46","78702"
"13","Grove Blvd 946, 78741 Austin",NA,"CE","GOOD",21,"GOOD","GGG 3720",FALSE,"WMEEJ3BA4FK801474","austin",-97.70341,30.23657,0,"2015-12-07 13:40:46","78741"
"14","Elizabeth St W 429, 78704 Austin",NA,"CE","GOOD",78,"GOOD","CSG 1513",FALSE,"WMEEJ3BAXEK736693","austin",-97.75335,30.24984,0,"2015-12-07 13:40:46","78704"
"15","Manor Cir 2535, 78723 Austin",NA,"CE","GOOD",54,"GOOD","DBW 2626",FALSE,"WMEEJ3BA5EK748251","austin",-97.68801,30.29699,0,"2015-12-07 13:40:46","78723"
"16","Willow Creek Dr 1956, 78741 Austin",NA,"CE","GOOD",100,"GOOD","CK9 T286",FALSE,"WMEEJ3BA4AK416926","austin",-97.72921,30.23265,0,"2015-12-07 13:40:46","78741"
"17","Sheringham Dr 4517, 78741 Austin",NA,"CE","GOOD",27,"GOOD","CYL 4628",FALSE,"WMEEJ3BA8EK748969","austin",-97.72341,30.22877,0,"2015-12-07 13:40:46","78741"
"19","W 6th St 129, 78701 Austin",NA,"CE","GOOD",57,"GOOD","FHB 2829",FALSE,"WMEEJ3BA9FK802796","austin",-97.74321,30.26811,0,"2015-12-07 13:40:46","78701"
"20","Northwood Rd 1687, 78703 Austin",NA,"CE","GOOD",18,"GOOD","FHB 2856",FALSE,"WMEEJ3BA0FK801410","austin",-97.75598,30.3,0,"2015-12-07 13:40:46","78703"
"21","W 5th St 145, 78701 Austin",NA,"CE","GOOD",69,"GOOD","FJD 0199",FALSE,"WMEEJ3BA3FK802874","austin",-97.74375,30.26728,0,"2015-12-07 13:40:46","78701"
"23","Colorado St 368, 78701 Austin",NA,"CE","GOOD",54,"GOOD","FGZ 8624",FALSE,"WMEEJ3BA5FK802777","austin",-97.74501,30.26629,0,"2015-12-07 13:40:46","78701"
"24","Wood Hollow Dr 7136, 78731 Austin",NA,"CE","UNACCEPTABLE",33,"UNACCEPTABLE","FJD 0195",FALSE,"WMEEJ3BA6FK801721","austin",-97.75268,30.35413,0,"2015-12-07 13:40:46","78731"
"25","LCRA - Trade Center Dr",NA,"CE","GOOD",90,"GOOD","CZS 9751",FALSE,"WMEEJ3BA4EK748130","austin",-97.71414,30.20749,0,"2015-12-07 13:40:46","78744"
"26","Harris Blvd 2404, 78703 Austin",NA,"CE","GOOD",27,"GOOD","CK9 T309",FALSE,"WMEEJ3BA6AK416698","austin",-97.75668,30.29132,0,"2015-12-07 13:40:46","78703"
"27","Manor Rd 3785, 78723 Austin",NA,"CE","GOOD",93,"GOOD","FJD 0200",FALSE,"WMEEJ3BA4FK802866","austin",-97.69533,30.29,0,"2015-12-07 13:40:46","78723"
