"","address","charging","engineType","exterior","fuel","interior","name","smartPhoneRequired","vin","City","Longitude","Latitude","Altitude","Time....Sys.time..","zip"
"48","Willow St 2767, 78702 Austin",NA,"CE","UNACCEPTABLE",81,"GOOD","FGZ 8680",FALSE,"WMEEJ3BA5FK802696","austin",-97.71358,30.25235,0,"2015-12-07 13:40:46","78702"
"137","Bowie St 572, 78703 Austin",NA,"CE","GOOD",100,"GOOD","CK9 T295",FALSE,"WMEEJ3BA6AK416751","austin",-97.75268,30.27067,0,"2015-12-07 13:40:46","78703"
"144","W 25th St 441, 78705 Austin",NA,"CE","GOOD",24,"GOOD","FBV 4363",FALSE,"WMEEJ3BA4FK799595","austin",-97.74174,30.28905,0,"2015-12-07 13:40:46","78705"
"262","San Jacinto Blvd 1005, 78701 Austin",NA,"CE","GOOD",27,"GOOD","FHB 2898",FALSE,"WMEEJ3BA3FK799989","austin",-97.73883,30.27138,0,"2015-12-07 13:40:46","78701"
"599","Rio Grande St 380, 78701 Austin",NA,"CE","GOOD",72,"GOOD","CSF 9069",FALSE,"WMEEJ3BA7EK733766","austin",-97.75009,30.26857,0,"2015-12-07 13:50:46","78701"
"627","E 13th St 2456, 78702 Austin",NA,"CE","GOOD",66,"GOOD","FBV 4354",FALSE,"WMEEJ3BA2FK799496","austin",-97.7146,30.27562,0,"2015-12-07 13:50:46","78702"
"834","Lancaster Dr, 78723 Austin",NA,"CE","GOOD",60,"GOOD","FBV 4427",FALSE,"WMEEJ3BA0FK799514","austin",-97.70891,30.30527,0,"2015-12-07 13:50:46","78723"
"865","San Marcos St 872, 78702 Austin",NA,"CE","GOOD",57,"GOOD","FGZ 8689",FALSE,"WMEEJ3BAXFK802161","austin",-97.73136,30.26764,0,"2015-12-07 13:50:46","78702"
"866","2901 Medical Arts St.",NA,"CE","GOOD",51,"GOOD","FHB 2840",FALSE,"WMEEJ3BA4FK801815","austin",-97.72863,30.28881,0,"2015-12-07 13:50:46","78705"
"982","W 24 1/2 St 755, 78705 Austin",NA,"CE","GOOD",42,"GOOD","CZS 9750",FALSE,"WMEEJ3BA7EK748543","austin",-97.74439,30.28854,0,"2015-12-07 13:55:47","78705"
"997","Northwestern Ave 668, 78702 Austin",NA,"CE","GOOD",54,"GOOD","FJC 9789",FALSE,"WMEEJ3BAXFK802211","austin",-97.71488,30.26146,0,"2015-12-07 13:55:47","78702"
